target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2733.96	1.26101e-05	6.50631e-07
Solyc05g010600.3.1	1637	1584.96	0	0
Solyc04g017960.2.1	150	98.0023	0	0
Solyc04g045315.1.1	1611	1558.96	0	0
Solyc04g072770.3.1	3093	3040.96	0	0
Solyc01g015070.3.1	608	555.958	0	0
Solyc08g076580.2.1	758	705.958	12.6418	2.52603
Solyc08g008480.2.1	1106	1053.96	257	34.3969
Solyc01g014103.1.1	1428	1375.96	140	14.3526
Solyc04g011650.3.1	2656	2603.96	78	4.22542
Solyc11g065557.1.1	2040	1987.96	1.24094	0.0880545
Solyc04g049610.3.1	4183	4130.96	24.3766	0.832399
Solyc02g087935.1.1	2256	2203.96	126.468	8.09444
Solyc02g085370.3.1	4460	4407.96	103	3.29616
Solyc01g095480.3.1	2429	2376.96	462.747	27.4619
Solyc05g044580.3.1	629	576.958	16	3.91187
Solyc02g065220.3.1	3659	3606.96	421.81	16.4962
Solyc04g017890.2.1	969	916.958	0	0
Solyc05g009620.3.1	2000	1947.96	0	0
Solyc07g025390.3.1	1666	1613.96	109	9.52671
Solyc01g090660.3.1	2518	2465.96	2	0.114407
Solyc11g020875.1.1	1848	1795.96	0	0
Solyc12g035822.1.1	447	394.958	0	0
Solyc08g016080.3.1	2196	2143.96	977	64.2817
Solyc07g039230.2.1	345	292.958	0	0
Solyc06g048800.2.1	648	595.958	0	0
Solyc06g016800.2.1	933	880.958	0	0
Solyc09g090530.3.1	861	808.958	0	0
Solyc04g009610.2.1	353	300.958	0	0
Solyc07g055960.2.1	123	71.5632	1	1.97115
Solyc11g007670.2.1	3293	3240.96	84	3.65607
Solyc03g116240.3.1	330	277.958	0	0
Solyc01g109210.2.1	1641	1588.96	28	2.48573
Solyc08g062290.3.1	1120	1067.96	62.9872	8.31969
Solyc11g062120.2.1	3045	2992.96	26	1.22541
Solyc05g006680.3.1	2159	2106.96	11	0.736454
Solyc07g009550.2.1	324	271.958	1	0.518689
Solyc02g093650.3.1	2422	2369.96	3	0.178562
Solyc06g070910.2.1	1456	1403.96	0	0
Solyc05g013120.3.1	1106	1053.96	25.0257	3.34944
Solyc12g039000.2.1	716	663.958	0	0
Solyc04g072750.2.1	239	186.958	0	0
Solyc04g080560.2.1	417	364.958	0	0
Solyc06g007110.3.1	3157	3104.96	705	32.0289
Solyc03g005480.3.1	1679	1626.96	29	2.51438
Solyc07g062550.3.1	2545	2492.96	43	2.43311
Solyc05g005210.3.1	1678	1625.96	210	18.2188
Solyc08g016440.3.1	989	936.958	76	11.442
Solyc01g049640.2.1	399	346.958	0	0
Solyc08g028915.1.1	360	307.958	1	0.458055
Solyc09g083240.3.1	647	594.958	19	4.50481
Solyc09g056410.2.1	678	625.958	1	0.225353
Solyc03g059050.2.1	1051	998.958	2	0.282418
Solyc04g054660.2.1	555	502.958	0	0
Solyc10g080940.2.1	2583	2530.96	3707.57	206.639
Solyc04g005680.3.1	1979	1926.96	2317.14	169.625
Solyc05g051290.3.1	1387	1334.96	259	27.3679
Solyc04g050440.3.1	1797	1744.96	83	6.70968
Solyc01g059853.1.1	516	463.958	1	0.30404
Solyc03g078580.3.1	543	490.958	38	10.9181
Solyc01g106930.3.1	562	509.958	0	0
Solyc07g005590.3.1	4253	4200.96	1533.7	51.4993
Solyc06g007680.2.1	2063	2010.96	87	6.10274
