target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2733.96	58.1697	2.71668
Solyc05g010600.3.1	1637	1584.96	0	0
Solyc04g017960.2.1	150	98.0023	0	0
Solyc04g045315.1.1	1611	1558.96	0	0
Solyc04g072770.3.1	3093	3040.96	0	0
Solyc01g015070.3.1	608	555.958	0	0
Solyc08g076580.2.1	758	705.958	18.8429	3.40802
Solyc08g008480.2.1	1106	1053.96	8	0.969172
Solyc01g014103.1.1	1428	1375.96	30	2.78388
Solyc04g011650.3.1	2656	2603.96	279	13.6806
Solyc11g065557.1.1	2040	1987.96	2.17188	0.139496
Solyc04g049610.3.1	4183	4130.96	12.4075	0.383502
Solyc02g087935.1.1	2256	2203.96	98.0484	5.6803
Solyc02g085370.3.1	4460	4407.96	105	3.04149
Solyc01g095480.3.1	2429	2376.96	901.407	48.4209
Solyc05g044580.3.1	629	576.958	20	4.42609
Solyc02g065220.3.1	3659	3606.96	7	0.247794
Solyc04g017890.2.1	969	916.958	0	0
Solyc05g009620.3.1	2000	1947.96	0	0
Solyc07g025390.3.1	1666	1613.96	183	14.4775
Solyc01g090660.3.1	2518	2465.96	5	0.258892
Solyc11g020875.1.1	1848	1795.96	0	0
Solyc12g035822.1.1	447	394.958	0	0
Solyc08g016080.3.1	2196	2143.96	222	13.2212
Solyc07g039230.2.1	345	292.958	0	0
Solyc06g048800.2.1	648	595.958	0	0
Solyc06g016800.2.1	933	880.958	0	0
Solyc09g090530.3.1	861	808.958	1.12244	0.177163
Solyc04g009610.2.1	353	300.958	0	0
Solyc07g055960.2.1	123	71.5632	5	8.92101
Solyc11g007670.2.1	3293	3240.96	312	12.2918
Solyc03g116240.3.1	330	277.958	0	0
Solyc01g109210.2.1	1641	1588.96	24.9503	2.00492
Solyc08g062290.3.1	1120	1067.96	26.8468	3.20976
Solyc11g062120.2.1	3045	2992.96	19	0.810563
Solyc05g006680.3.1	2159	2106.96	7	0.424205
Solyc07g009550.2.1	324	271.958	25.7238	12.0772
Solyc02g093650.3.1	2422	2369.96	230	12.3914
Solyc06g070910.2.1	1456	1403.96	0	0
Solyc05g013120.3.1	1106	1053.96	30.5984	3.70689
