target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2733.96	58.1698	2.93587
Solyc05g010600.3.1	1637	1584.96	0	0
Solyc04g017960.2.1	150	98.0023	0	0
Solyc04g045315.1.1	1611	1558.96	0	0
Solyc04g072770.3.1	3093	3040.96	0	0
Solyc01g015070.3.1	608	555.958	0	0
Solyc08g076580.2.1	758	705.958	59.8804	11.7041
Solyc08g008480.2.1	1106	1053.96	7	0.916443
Solyc01g014103.1.1	1428	1375.96	23	2.3065
Solyc04g011650.3.1	2656	2603.96	216	11.4459
Solyc11g065557.1.1	2040	1987.96	2.12079	0.147204
Solyc04g049610.3.1	4183	4130.96	6	0.200415
Solyc02g087935.1.1	2256	2203.96	72.4706	4.53721
Solyc02g085370.3.1	4460	4407.96	65	2.03473
Solyc01g095480.3.1	2429	2376.96	712.966	41.3884
Solyc05g044580.3.1	629	576.958	8	1.91327
Solyc02g065220.3.1	3659	3606.96	9.07681	0.347234
Solyc04g017890.2.1	969	916.958	0	0
Solyc05g009620.3.1	2000	1947.96	0	0
Solyc07g025390.3.1	1666	1613.96	186	15.902
Solyc01g090660.3.1	2518	2465.96	8	0.447646
Solyc11g020875.1.1	1848	1795.96	1	0.0768307
Solyc12g035822.1.1	447	394.958	0	0
Solyc08g016080.3.1	2196	2143.96	166	10.6837
Solyc07g039230.2.1	345	292.958	0	0
Solyc06g048800.2.1	648	595.958	0	0
Solyc06g016800.2.1	933	880.958	0	0
Solyc09g090530.3.1	861	808.958	0	0
Solyc04g009610.2.1	353	300.958	0	0
Solyc07g055960.2.1	123	71.5632	3	5.78445
Solyc11g007670.2.1	3293	3240.96	212	9.02596
Solyc03g116240.3.1	330	277.958	1	0.496423
Solyc01g109210.2.1	1641	1588.96	39	3.38675
Solyc08g062290.3.1	1120	1067.96	16.9346	2.18802
Solyc11g062120.2.1	3045	2992.96	16	0.73765
Solyc05g006680.3.1	2159	2106.96	5	0.32745
Solyc07g009550.2.1	324	271.958	0	0
Solyc02g093650.3.1	2422	2369.96	288	16.7681
Solyc06g070910.2.1	1456	1403.96	7.55634	0.742657
Solyc05g013120.3.1	1106	1053.96	43.1218	5.64553
Solyc12g039000.2.1	716	663.958	0	0
Solyc04g072750.2.1	239	186.958	0	0
Solyc04g080560.2.1	417	364.958	3	1.13425
Solyc06g007110.3.1	3157	3104.96	403	17.9094
Solyc03g005480.3.1	1679	1626.96	5	0.424057
Solyc07g062550.3.1	2545	2492.96	188	10.4058
Solyc05g005210.3.1	1678	1625.96	135	11.4566
Solyc08g016440.3.1	989	936.958	90	13.2542
Solyc01g049640.2.1	399	346.958	0	0
Solyc08g028915.1.1	360	307.958	1	0.448064
Solyc09g083240.3.1	647	594.958	24	5.56616
Solyc09g056410.2.1	678	625.958	0	0
Solyc03g059050.2.1	1051	998.958	5	0.690643
Solyc04g054660.2.1	555	502.958	1.36415	0.374249
Solyc10g080940.2.1	2583	2530.96	2792.57	152.248
Solyc04g005680.3.1	1979	1926.96	4503.23	322.465
Solyc05g051290.3.1	1387	1334.96	4290	443.425
Solyc04g050440.3.1	1797	1744.96	159	12.5731
Solyc01g059853.1.1	516	463.958	0	0
Solyc03g078580.3.1	543	490.958	47	13.2094
Solyc01g106930.3.1	562	509.958	1	0.270581
Solyc07g005590.3.1	4253	4200.96	1944.6	63.8724
Solyc06g007680.2.1	2063	2010.96	163	11.1845
Solyc01g089960.3.1	1197	1144.96	3	0.361545
Solyc03g006120.3.1	1661	1608.96	8	0.686082
Solyc07g054000.3.1	701	648.958	19	4.03987
Solyc02g032360.3.1	521	468.958	5	1.47118
Solyc02g089140.2.1	447	394.958	3	1.0481
Solyc03g062910.3.1	5017	4964.96	11	0.305709
Solyc08g014020.3.1	624	571.958	611	147.404
Solyc06g043113.1.1	1455	1402.96	5.43893	0.534933
Solyc01g150007.1.1	444	391.958	18	6.33671
Solyc09g031543.1.1	4368	4315.96	35.4258	1.13259
