target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2733.96	1.43e-05	5.9646e-07
Solyc05g010600.3.1	1637	1584.96	0	0
Solyc04g017960.2.1	150	98.0023	0	0
Solyc04g045315.1.1	1611	1558.96	0	0
Solyc04g072770.3.1	3093	3040.96	0	0
Solyc01g015070.3.1	608	555.958	0	0
Solyc08g076580.2.1	758	705.958	26.2751	4.24427
Solyc08g008480.2.1	1106	1053.96	320	34.623
Solyc01g014103.1.1	1428	1375.96	173.961	14.4173
Solyc04g011650.3.1	2656	2603.96	80	3.50344
Solyc11g065557.1.1	2040	1987.96	1	0.0573629
Solyc04g049610.3.1	4183	4130.96	17	0.469285
Solyc02g087935.1.1	2256	2203.96	95.2064	4.92608
Solyc02g085370.3.1	4460	4407.96	100	2.58703
Solyc01g095480.3.1	2429	2376.96	510.684	24.5001
Solyc05g044580.3.1	629	576.958	8	1.58119
Solyc02g065220.3.1	3659	3606.96	370.525	11.7142
Solyc04g017890.2.1	969	916.958	0	0
Solyc05g009620.3.1	2000	1947.96	0	0
Solyc07g025390.3.1	1666	1613.96	122	8.61997
Solyc01g090660.3.1	2518	2465.96	0	0
Solyc11g020875.1.1	1848	1795.96	0	0
Solyc12g035822.1.1	447	394.958	0	0
Solyc08g016080.3.1	2196	2143.96	1040	55.3166
Solyc07g039230.2.1	345	292.958	0	0
Solyc06g048800.2.1	648	595.958	0	0
Solyc06g016800.2.1	933	880.958	0	0
Solyc09g090530.3.1	861	808.958	2.15156	0.303295
Solyc04g009610.2.1	353	300.958	0	0
Solyc07g055960.2.1	123	71.5632	1	1.59349
Solyc11g007670.2.1	3293	3240.96	116	4.08153
Solyc03g116240.3.1	330	277.958	0	0
Solyc01g109210.2.1	1641	1588.96	26	1.86595
Solyc08g062290.3.1	1120	1067.96	104.975	11.2091
Solyc11g062120.2.1	3045	2992.96	12	0.457213
Solyc05g006680.3.1	2159	2106.96	5	0.270615
Solyc07g009550.2.1	324	271.958	0	0
Solyc02g093650.3.1	2422	2369.96	2	0.0962338
Solyc06g070910.2.1	1456	1403.96	1	0.0812239
Solyc05g013120.3.1	1106	1053.96	10.2001	1.10362
Solyc12g039000.2.1	716	663.958	0	0
Solyc04g072750.2.1	239	186.958	0	0
Solyc04g080560.2.1	417	364.958	0	0
Solyc06g007110.3.1	3157	3104.96	668	24.5335
Solyc03g005480.3.1	1679	1626.96	23	1.61209
Solyc07g062550.3.1	2545	2492.96	92	4.20834
Solyc05g005210.3.1	1678	1625.96	215	15.0788
Solyc08g016440.3.1	989	936.958	35	4.25977
Solyc01g049640.2.1	399	346.958	0	0
Solyc08g028915.1.1	360	307.958	3	1.11088
Solyc09g083240.3.1	647	594.958	26	4.9834
Solyc09g056410.2.1	678	625.958	2	0.364354
Solyc03g059050.2.1	1051	998.958	1	0.114154
Solyc04g054660.2.1	555	502.958	0	0
Solyc10g080940.2.1	2583	2530.96	4013.32	180.824
Solyc04g005680.3.1	1979	1926.96	2837.3	167.908
Solyc05g051290.3.1	1387	1334.96	484	41.3443
Solyc04g050440.3.1	1797	1744.96	159	10.3908
Solyc01g059853.1.1	516	463.958	2	0.491575
Solyc03g078580.3.1	543	490.958	38	8.82628
Solyc01g106930.3.1	562	509.958	0	0
Solyc07g005590.3.1	4253	4200.96	1683.84	45.7077
Solyc06g007680.2.1	2063	2010.96	78	4.42313
Solyc01g089960.3.1	1197	1144.96	37	3.68511
Solyc03g006120.3.1	1661	1608.96	0	0
Solyc07g054000.3.1	701	648.958	15	2.6358
Solyc02g032360.3.1	521	468.958	16	3.89067
Solyc02g089140.2.1	447	394.958	0	0
Solyc03g062910.3.1	5017	4964.96	8	0.183744
Solyc08g014020.3.1	624	571.958	485	96.6976
Solyc06g043113.1.1	1455	1402.96	5	0.406409
Solyc01g150007.1.1	444	391.958	14	4.07312
Solyc09g031543.1.1	4368	4315.96	60.6451	1.60235
Solyc08g067670.3.1	656	603.958	29.1414	5.50228
Solyc10g084180.2.1	3498	3445.96	514	17.0095
Solyc07g041510.2.1	3769	3716.96	150	4.60195
Solyc03g118770.3.1	1385	1332.96	6	0.513302
Solyc07g024015.1.1	8967	8914.96	1.00469	0.0128514
Solyc07g009360.2.1	363	310.958	1	0.366722
Solyc03g082950.3.1	878	825.958	3	0.414192
