target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2754.41	58.6049	2.52627
Solyc05g010600.3.1	1637	1605.41	0	0
Solyc04g017960.2.1	150	118.413	0	0
Solyc04g045315.1.1	1611	1579.41	0	0
Solyc04g072770.3.1	3093	3061.41	0	0
Solyc01g015070.3.1	608	576.412	0	0
Solyc08g076580.2.1	758	726.412	47.7264	7.801
Solyc08g008480.2.1	1106	1074.41	5	0.552552
Solyc01g014103.1.1	1428	1396.41	32	2.72089
Solyc04g011650.3.1	2656	2624.41	366	16.5586
Solyc11g065557.1.1	2040	2008.41	0	0
Solyc04g049610.3.1	4183	4151.41	10.4	0.297447
Solyc02g087935.1.1	2256	2224.41	74.5773	3.98076
Solyc02g085370.3.1	4460	4428.41	140	3.75366
Solyc01g095480.3.1	2429	2397.41	977.905	48.4315
Solyc05g044580.3.1	629	597.412	11	2.18622
Solyc02g065220.3.1	3659	3627.41	11.0416	0.361419
Solyc04g017890.2.1	969	937.412	0	0
Solyc05g009620.3.1	2000	1968.41	0	0
Solyc07g025390.3.1	1666	1634.41	235	17.0719
Solyc01g090660.3.1	2518	2486.41	7	0.334271
Solyc11g020875.1.1	1848	1816.41	0	0
Solyc12g035822.1.1	447	415.412	1	0.285822
Solyc08g016080.3.1	2196	2164.41	257	14.0983
Solyc07g039230.2.1	345	313.412	0	0
Solyc06g048800.2.1	648	616.412	0	0
Solyc06g016800.2.1	933	901.412	0	0
Solyc09g090530.3.1	861	829.412	0	0
Solyc04g009610.2.1	353	321.412	0	0
Solyc07g055960.2.1	123	91.4486	2	2.59673
Solyc11g007670.2.1	3293	3261.41	268	9.75671
Solyc03g116240.3.1	330	298.412	0	0
Solyc01g109210.2.1	1641	1609.41	47	3.46741
Solyc08g062290.3.1	1120	1088.41	20	2.18178
Solyc11g062120.2.1	3045	3013.41	18	0.709232
Solyc05g006680.3.1	2159	2127.41	8	0.446491
Solyc07g009550.2.1	324	292.412	18.454	7.49322
Solyc02g093650.3.1	2422	2390.41	610	30.2992
Solyc06g070910.2.1	1456	1424.41	0	0
Solyc05g013120.3.1	1106	1074.41	45.5547	5.03428
Solyc12g039000.2.1	716	684.412	0	0
Solyc04g072750.2.1	239	207.412	0	0
Solyc04g080560.2.1	417	385.412	0	0
Solyc06g007110.3.1	3157	3125.41	546	20.7424
Solyc03g005480.3.1	1679	1647.41	1	0.0720729
Solyc07g062550.3.1	2545	2513.41	259	12.2352
Solyc05g005210.3.1	1678	1646.41	183	13.1974
Solyc08g016440.3.1	989	957.412	130	16.122
Solyc01g049640.2.1	399	367.412	0	0
Solyc08g028915.1.1	360	328.412	2	0.723078
Solyc09g083240.3.1	647	615.412	39	7.52442
Solyc09g056410.2.1	678	646.412	0	0
Solyc03g059050.2.1	1051	1019.41	5	0.582364
